2018-06-20 23:53
【美油涨超2%】财联社6月20日讯，WTI原油期货上涨1.32美元，涨幅达到2.02%，刷新日高至66.22美元/桶。
2018-06-20 23:45
财联社6月20日讯，沙特能源部长法利赫：市场在下半年对原油需求更高。沙特将尽最大努力，以维持共识。
2018-06-20 23:31
【欧股周三收盘主要股指多数收涨】财联社6月20日讯，周三欧股冲高回落，主要股指多数收涨。截至收盘：德国DAX指数上涨18.55点，涨幅0.15%，报12696.52点；英国富时100指数上涨24.35点，涨幅0.32%，报7628.20点；法国CAC40指数下跌18.32点，跌幅0.34%，报5372.31点；西班牙IBEX35指数上涨31.60点，涨幅0.32%，报9787.00点；意大利富时指数上涨41.17点，涨幅0.19%，报22125.50点。
2018-06-20 23:30
【商品期货夜盘收盘：黑色系普遍收红 农产品涨跌不一】财联社6月20日讯，周三夜盘国内商品期货黑色系窄幅震荡，普遍收红，农产品涨跌不一。截至收盘：焦炭、焦煤、动力煤、螺纹钢、铁矿石分别收涨1.88%、0.66%、0.62%、0.5%、0.55%。农产品方面，豆粕、菜粕分别收跌0.36%、0.08%；豆油、菜油、棕榈油分别收涨0.11%、0.59%、1.56%。
2018-06-20 22:52
【债券匿名拍卖业务细则出台 债券违约增多下有利流动性】财联社6月20日讯，记者获悉，中国外汇交易中心、全国银行间同业拆借中心近期已下发《关于开展债券匿名拍卖业务的通知》（中汇交发[2018]192号文），并配有相关细则。参与机构应签署《债券匿名拍卖业务投资者风险承诺函》 ，知悉并自担交易风险，承诺遵守相关制度法规与行业准则 。根据192号文，匿名拍卖业务适用的债券应满足在银行间债券市场流通相关标准，包括但不限于违约债券、受违约影响的债券、资产支持证券次级档等低流动性债券。一位国有大行交易员表示，在债券违约增多的背景下，该文件有利于违约债券交易，提高债券流动性。（21世纪经济报道）
2018-06-20 22:30
财联社6月20日讯，美国6月15日当周EIA原油库存变动-591.4万桶，预期-250万桶，前值-414.3万桶。
2018-06-20 22:21
【鹏博士：拟回购不超过9亿元股份】财联社6月20日讯，鹏博士公告，拟回购股份，资金总额不超过9亿元，回购股份的价格为不超15元/股；本次回购股份用于公司股权激励计划、员工持股计划或依法注销减少注册资本等，回购期限为股东大会审议通过之日起 12个月内。
2018-06-20 22:16
财联社6月20日讯，移动大数据服务商极光据悉计划在纽约IPO。（华尔街日报）
2018-06-20 22:04
【海南省政府与外资金融机构举行工作座谈】财联社6月20日讯，今天上午，海南省政府与外资金融机构举行工作座谈。省长沈晓明主持并讲话。野村控股、汇丰集团、花旗银行、摩根士丹利国际银行、巴克莱银行等外资金融机构负责人作了讨论发言。大家就发展绿色金融、开展离岸金融业务、优化金融监管等方面提出了建设性意见和建议。沈晓明说欢迎外资金融机构，超前布局、积极参与海南自贸区和中国特色自贸港建设。也希望外资金融机构与中国互联网企业合作，以海南为支点推动移动支付、消费金融业务向全世界特别是东南国家拓展。
2018-06-20 21:57
【独家电报|美团点评暂无发行CDR计划】财联社6月20日讯，财联社记者从消息人士处独家获悉，美团点评暂无在内地发行CDR计划，不会在香港内地同步上市。小财注：据财新报道，美团点评将于本周五（6月22日）向港交所递交IPO申请，IPO承销商包括高盛、摩根士丹利、美林美银和华兴资本。（财联社 曹盛洁）
2018-06-20 21:48
【中共上海市委常委会决定：十一届市委四次全会6月27日召开】财联社6月20日讯，中共上海市委常委会日前决定，2018年6月27日召开中国共产党上海市第十一届委员会第四次全体会议。这次全会的主题是：全面贯彻党的十九大和十九届二中、三中全会精神，以习近平新时代中国特色社会主义思想为指导，按照“当好全国改革开放排头兵、创新发展先行者”的要求，坚持新发展理念，面向全球、面向未来，对标顶级全球城市，着力构筑新时代上海发展的战略优势，全面增强城市的核心功能，全力打响“四大品牌”，在推动长三角地区更高质量一体化发展中发挥龙头带动作用，努力实现高质量发展、创造高品质生活，不断增强城市吸引力、创造力和竞争力，更好地代表国家参与国际合作与竞争，加快建设卓越的全球城市和具有世界影响力的社会主义现代化国际大都市。全会的主要议程是：审议并通过《中共上海市委关于面向全球、面向未来提升上海城市能级和核心竞争力的意见》；审议并通过十一届市委四次全会决议。
2018-06-20 21:43
【天津港保税区出新政支持航空物流业发展】财联社6月20日讯，天津港保税区20日宣布，正式出台《天津港保税区进一步促进航空物流产业发展支持政策》，从航空货运吞吐量、贸易及交易市场等七方面支持航空物流产业发展，每项支持都将以真金白银的形式兑现，各项政策叠加后，单个企业可享受最高奖励近亿元人民币。此政策是历年来天津港保税区出台各项相关政策中支持力度最高的。
2018-06-20 21:42
财联社6月20日讯，纳斯达克指数扩大涨幅，升穿此前高位的7768.602点至7774.31点，创纪录新高。
2018-06-20 21:37
【广东东莞出台政策支持人工智能产业发展】财联社6月20日讯，广东东莞市20日出台政策措施，以大力支持该市市人工智能产业发展。东莞将重点支持的领域包括但不限于智能传感器、智能芯片、计算机视觉、智能语音处理、生物特征识别、自然语言处理、智能决策控制、新型人机交互等核心基础和关键技术领域，支撑深度学习的大规模计算平台及海量数据库等人工智能基础资源，以及人工智能技术在各行业领域和硬件终端的产业化应用。
2018-06-20 21:31
财联社6月20日讯，美联储理事鲍威尔：FOMC支持渐进加息。继续渐进加息的理由强大，通胀接近美联储2%的目标。
2018-06-20 21:30
【美股高开 道指盘初涨逾百点】财联社6月20日讯，标普500指数开盘上涨9.27点，涨幅0.34%，报2771.86点；纳斯达克指数开盘上涨39.00点，涨幅0.51%，报7764.61点；道琼斯指数开盘上涨101.90点，涨幅0.41%，报24802.11点。
2018-06-20 21:28
【美团点评将于本周五向港交所递交IPO申请】财联社6月20日讯，据财新报道，美团点评赴港上市的时间表确定。财新从两位市场人士处获悉，美团点评将于本周五（6月22日）向港交所递交IPO申请，IPO承销商包括高盛、摩根士丹利、美林美银和华兴资本。
2018-06-20 21:27
【频见质押股票跌破平仓线 券商四大措施应急】财联社6月20日讯，记者采访多位券商股票质押人士，他们认为，目前的股票质押风险确实很大，但综合多方面因素，即便是跌破平仓线的股票，券商一般也不会强制平仓，而是与质权人进行磋商，通过采取追加保证金、质押物，或者提前回购部分股票收益权等措施化解质押风险。目前对于质押股票跌破平仓线的客户，券商主要采取四种应对措施：一是，手中仍有股票的客户优先选择补仓；二是，仍持有部分资金的先部分购回股票；三是，没有股票也没有资金的，先临时停牌；四是，实在没有方法的，（通常是一些持股5%以下的小客户），才选择强制平仓。（券商中国）
2018-06-20 21:24
【民生银行与花样年战略签约】财联社6月20日讯，中国民生银行股份有限公司与花样年集团（中国）有限公司举行了战略合作签约仪式，据悉本次战略合作规模将达人民币150亿元。在双方战略合作中，民生银行将为花样年集团及其控股公司提供综合金融服务和支持。
2018-06-20 21:18
【部分企业停产 稀土价格小幅反弹】财联社6月20日讯，6月以来，沉寂已久的稀土价格开始回升，镨钕镝铽价格持续上涨。瑞道稀土资讯数据显示，截至6月中旬，氧化镨钕出厂含税报价34.4万至35万元/吨，较上周上涨了6500元/吨；氧化镝出厂含税报价117.5万至119万元/吨，上涨了20000元/吨；氧化铽出厂含税报价305万至315万元/吨，上涨了5万元/吨。合金镨钕出厂含税报价43.9万至44.5万元/吨，涨幅为1万元/吨；镝铁出厂含税报价118万至120万元/吨，涨幅约1.5万元/吨。另据广东、福建等地方政府网站透露，近期正在严打盗采稀土行为。稀土行业专家表示，相对于北方地区，环保核查、稀土打黑对于南方地区的供应影响更大。
2018-06-20 21:16
财联社6月20日讯，华为今日宣布率先完成IMT-2020 5G推进组组织的中国5G技术研发试验第三阶段NSA（非独立组网）全部用例测试。5G第三阶段测试作为5G技术研发测试的最后一环，也是最接近5G商用的一环。
2018-06-20 21:15
【寒武纪CEO陈天石：将考虑在境内A股上市】财联社6月20日讯，中国人工智能芯片独角兽公司寒武纪科技日前宣布完成数亿美元的B轮融资。寒武纪科技B轮融资后整体估值达25亿美元。寒武纪科技CEO陈天石透露：“我们未来倾向于考虑在境内A股上市。”不过他没有透露上市时间表，只说道：“我们一步步来。”（一财）
2018-06-20 21:13
【维生素D3本月跳涨80% 花园生物提高报价】财联社6月20日讯，据中国饲料信息网数据，近期部分维生素品种出现持续上涨，其中维生素D3上周价格从250-300元/kg大涨至360-500元/kg，一周涨幅逾60%。6月19日维生素D3市场报价涨至460-500元/kg，逼近历史高点，6月以来涨幅高达80%。另外，花园生物提高饲料级维生素D3报价至1500元/kg，出口报价200美元/kg。
2018-06-20 21:08
【长沙市住建委暂停5家房产企业在长沙参与土地市场招拍挂】财联社6月20日讯，因落实长沙市政府房地产市场调控政策不到位，长沙市住建委暂停5个项目的开发公司及其名下所有子公司在长沙参与土地市场招拍挂。据长沙市住建委相关负责人介绍，为坚决打赢反炒房攻坚战，重点惩处变相捂盘和恶意炒作行为，将出台相应的调控政策和监管措施，在行政监管手段上对捂盘惜售的开发企业和恶意炒房、哄抬房价的中介机构及人员予以重拳打击，进一步促进长沙房地产市场平稳健康发展。
2018-06-20 21:07
【四川路桥控股股东拟增持1亿元-5亿元】财联社6月20日讯，四川路桥公告，控股股东铁投集团于6月20日增持公司股票1941368股，增持金额约为591.75万元，占公司总股本的比例约为0.05%；铁投集团计划在本次增持后的十二个月内，继续增持公司股票，拟累计增持股份所用资金不低于1亿元，不高于5亿元（包含本次已增持金额），且增持比例不超过公司总股本的2%。
2018-06-20 21:06
【企业年金业务资质调整 新华养老、人保养老获得投管资格】财联社6月20日讯，人社部发布通告，对企业年金基金管理人的业务资格进行调整，部分为新增资格，部分为集团资格内部转移。此次变化主要有四方面。一是增加中国银行、农业银行、人保养老3个受托机构资格；二是增加人保养老的账户管理资格；三是增加新华养老的投资管理资格；四是对两个资格进行转移，即新华保险的账管资格转移给新华养老，人保资产的投管资格转移给人保养老。
2018-06-20 21:01
财联社6月20日讯，商品期货夜盘开盘多数飘红，动力煤高开1.2%领涨。焦煤、焦炭分别高开0.4%、0.7%，螺纹、铁矿、热卷分别高开0.6%、0.4%、0.6%。
2018-06-20 20:53
【审计署：东方电气计划外所购27套商品房及车位长期闲置】财联社6月20日讯，国家审计署官网6月20日公布的《2018年第9号公告：中国东方电气集团有限公司2016年度财务收支等情况审计结果》显示，2006年至2016年，东方电气集团总部及所属两家企业因未有效防范市场和投资管理等风险，3个项目投资形成亏损，至2017年底已计提减值准备31.6亿元。此外，2010年4月，东方电气集团在年度投资计划外使用2084.07万元购买27套商品房及车位，至审计时长期闲置。
2018-06-20 20:43
【高盛：GE被踢出道琼斯指数可能导致近期股价疲软】财联社6月20日讯，高盛分析师Joe Ritchie（中性，目标价14美元）在研报中写道，GE被踢出道琼斯指数可能导致该股近期跑输大盘。鉴于GE最近的日均成交额约10亿美元，预计ETF抛售该股的影响很小；只有约8,000万美元的GE股票由跟踪道指的ETF持有外，William Blair的分析师Nicholas Heymann（跑赢大盘）表示，GE正在接近投资者情绪的拐点。
2018-06-20 20:37
【新华社：高质量发展良好开局 经济前景持续向好】财联社6月20日讯，新华社晚间发文称，今年以来，面对错综复杂的国内外形势，我国经济延续稳中向好发展态势，经济结构调整优化，动能转换有新进展，质量效益有新提升，改革开放有新亮点，高质量发展实现良好开端。相关宏观经济部门负责人认为，当前推动高质量发展的有利条件不断积累增多，未来中国经济发展前景向好。
2018-06-20 20:35
【泛海控股：控股股东完成2亿元增持 并火速抛出第二期1-10亿元增持计划】财联社6月20日讯，泛海控股晚间公告，控股股东中国泛海拟增持1亿元-2亿元的增持计划已完成，中国泛海于5月21日-6月15日期间累计增持2873.64万股，占公司总股本的0.55%，增持金额2亿元。此外，中国泛海披露第二期增持计划，其已于6月20日增持了200.84万股，并计划于6月20日-12月31日期间共计增持1亿元-10亿元。另外，公司部分董监高拟合计增持1亿元-2亿元。
2018-06-20 20:33
【新华社评论员：向人民交出审计监督的“国家大账”】财联社6月20日讯，新华社发表评论员文章称，受国务院委托，审计署审计长20日向全国人大常委会作审计工作报告。这是中央审计委员会组建以来，审计署首次向全国人大常委会作审计工作报告，向全国人民提交了一本“国家大账”，对于进一步深化审计制度改革、推动新时代审计事业发展具有重要意义。深化审计制度改革，用好科技强审这把“金钥匙”，加强审计信息化建设，从而打通“梗阻”、畅通渠道，及时揭示和反映经济社会各领域的新情况、新问题、新趋势，切实提高发现问题、评价判断、宏观分析的能力，更好履行审计监督职责。
2018-06-20 20:30
【美国第一季度经常账户赤字1241亿美元】财联社6月20日讯，美国一季度经常帐 -1241亿美元，预期 -1290亿美元，前值 -1282亿美元。
2018-06-20 20:27
【德展健康：拟回购2亿元公司股份】财联社6月20日讯，德展健康晚间公告，公司拟6个月内以自有资金或自筹资金2亿元回购公司股份，回购价格不超过12元/股。
2018-06-20 20:25
【多家A股公司披露国家审计署审计情况】财联社6月20日讯，6月20日晚，农业银行、工商银行、中信重工、中国中车披露国家审计署审计情况。其中，国家审计署对工商银行2016年资产负债损益情况进行了审计。截至目前，审计指出问题的整改率达到98.01%。涉及的贷款已采取了相应的风险防范和化解措施，风险基本可控；农业银行审计发现问题的整改率达到98.48%；中国中车对审计指出的问题已全部落实整改措施；中信重工目前已基本整改完毕。
2018-06-20 20:18
【许勤主持召开河北省政府党组会议：坚决抓好中央环保督查“回头看”问题整改】财联社6月20日讯，今日，河北省政府党组书记、省长许勤主持召开省政府党组会议，会议指出，要全面自查自纠、举一反三，既解决“点”上问题，又延伸解决“面”上问题，聚焦“散乱污”企业整治、大气污染防治、机动车污染和劣质油品管控、重点河流水质改善和污泥处理、地下水超采、矿山环境综合整治等重点领域，集中力量开展攻坚行动。
2018-06-20 20:12
【北讯集团：多家下属公司合计签订26份合同 总金额超15亿元】财联社6月20日讯，北讯集团晚间公告，公司全资下属公司天津北讯、深圳北讯、上海北讯、广东北讯分别于4月、6月与天津衡信科技签订了系列《无线移动宽带数据通信系统无线 网项目合同书》，共计26份合同，金额合计15.31亿元。
2018-06-20 20:09
【迪士尼再加码竞购福克斯 报价升至每股38美元】财联社6月20日讯，福克斯周三宣布，迪士尼公司将其对21世纪福克斯电影和电视资产的收购价格从每股28美元提高至每股38美元，允许21世纪福克斯的股东选择收到现金或股票。
2018-06-20 20:08
【摩根士丹利大幅下调恒生指数目标位 称香港股市的抛售远未结束】财联社6月20日讯，摩根士丹利策略师刚刚把恒生指数的12个月目标大幅下调约10%至27,200点。新目标意味着恒生指数将从1月高点下跌约18%，接近通常表明市场进入熊市的调整幅度。恒生指数周三收于29,696点。摩根士丹利认为，利率上升、人民币贬值和美中贸易关系恶化，这些因素将共同威胁亚洲经济增长和企业利润。虽然该行策略师还下调了其他6个指数的目标位，但香港由于其与美国货币政策的紧密关系以及香港公司盈利对中国大陆的依赖性，因此显得尤为脆弱。“我们认为恒生指数短期内有进一步大幅下跌的风险，” Jonathan Garner等策略师周三在一份报告中写道，投资者在这个关键时刻应该特别关注减少对香港股票的曝险。
2018-06-20 20:05
【6月来8家银行接罚单 贷款业务成重灾区】财联社6月20日讯，6月20日正好是年初原银监会启动的进一步深化整治银行业市场乱象检查的截止日。随着各地银监局进场检查的先后结束，对银行开出的行政罚单也陆续公布。记者通过梳理6月以来各地银监局公布的行政罚单发现，不同于去年“三三四十”检查聚焦在表外业务、通道业务，今年新一轮的监管检查后，受罚的“重灾区”落在了表内的贷款业务上，绝大多数罚单的处罚案由都与贷款业务不审慎有关。（券商中国）
2018-06-20 20:02
【恒宝股份：拟回购1亿元-2亿元公司股份】财联社6月20日讯，恒宝股份晚间公告，鉴于近期股票市场出现较大波动，公司认为目前公司股价不能正确反映公司价值，公司拟以不超过7.20元/股的价格回购公司股份，回购总金额不超过2亿元，不低于1亿元。若全额回购，预计回购股份约为2777.78万股，占公司总股本的3.90%。注：公司最新股价报6.61元。
2018-06-20 19:56
【岭南股份：控股股东及董监高等拟增持5000万元至2亿元】财联社6月20日讯，岭南股份晚间公告，基于对公司未来发展前景的信心以及对公司价值的认可，公司控股股东及部分董监高、相关管理团队计划未来6个月内累计增持不低于5000万元，不超过2亿元。
2018-06-20 19:53
【招商银行：申请担任存托凭证试点存托人】财联社6月20日讯，招商银行晚间公告，公司向中国银保监会和中国证监会申请担任存托凭证（CDR）试点存托人。
2018-06-20 19:53
【审计署：中国华电未经报备同意下属单位买股票 浮亏五千余万】财联社6月20日讯，国家审计署官网6月20日公布的《2018年第4号公告：中国华电集团有限公司2016年度财务收支等情况审计结果》显示，2014年，中国华电未经报备同意下属单位购买股票，至2017年6月15日形成浮亏5465.68万元。
2018-06-20 19:46
【江丰电子：多名股东拟合计减持4.44%股份】财联社6月20日讯，江丰电子公告，持股4.5%的公司股东金天丞计划6个月内减持公司股份246.1万股，占公司总股本的1.12%；持股1.33%的公司监事王晓勇计划6个月内减持公司股份70万股，占公司总股本比例0.32%；分别持股3.25%、8.46%、3.36%的公司股东张辉阳、智鼎博能和智兴博辉计划6个月内合计减持公司股份657.1万股，占公司总股本比例3%。
2018-06-20 19:30
【6月20日周三《新闻联播》要闻七条】财联社6月20日讯，今天《新闻联播》的主要内容有：1、习近平会见朝鲜劳动党委员长金正恩。2、习近平会见尼泊尔总理。3、李克强主持召开国务院常务会议，部署进一步缓解小微企业融资难融资贵，持续推动实体经济降成本。4、栗战书会见南非议会事务主席。5、韩正在天津调研。6、《打赢蓝天保卫战三年行动计划》即将实施。7、我国加快境外新药国内上市。
2018-06-20 19:22
【英维克：股东拟减持不超3%股份】财联社6月20日讯，英维克晚间公告，合计持股9.21%的股东上海秉原及其一致行动人计划未来3个月内减持不超过645.04万股，占公司总股本的2.9989%。
2018-06-20 19:17
【顺丰确认入股小米】财联社6月20日讯，今日下午，有境外媒体引述知情人士说法，称在洽谈以基石投资者身份参与小米香港IPO的公司名单中，有中国移动、顺丰和高通。据悉，小米拟于周三敲定基石投资者名单。顺丰有关人士确认，“确实投了”。移动内部人士则回复，“这个事情应该是可信的。”小米、高通的代表则不予置评。（南方都市报）
2018-06-20 19:16
财联社6月20日讯，财政部表示，1-5月全国财政收入同比增长12.2%，其中税收收入增长15.8%，主体税种增长较快。
2018-06-20 19:14
【中迪投资：控股股东和实控人拟增持不低于1亿元】财联社6月20日讯，中迪投资晚间公告，公司控股股东中迪产融、实控人李勤计划未来6个月内增持不低于1亿元，累计增持比例不超过公司总股本的5%。
2018-06-20 19:04
【6只独角兽基金规模或已达1000亿：2家超200亿 4家超100亿】财联社6月20日讯，从来自渠道消息称，6只战略配售基金的合计募集金额或已超过1000亿元，而且单只基金的规模已经超过100亿，2只基金规模或超200亿。不过，上述诸项数据均来源于渠道人士，未能从相关基金公司处获得求证，可能会与实际情况存在偏差，一切以成立公告为准。（中国基金报）
2018-06-20 19:01
【“中国光谷”发布2035创新驱动发展战略行动纲要】财联社6月20日讯，经报武汉市人民政府审定，素有“中国光谷”之称的武汉东湖高新区19日发布《中国光谷2035创新驱动发展战略行动纲要》。按照纲要，到2020年，“中国光谷”将建成全球一流的高科技园区，成为全球创新创业网络的关键节点。在激光、空间信息等领域创新水平跻身世界前沿，研发投入强度达到10％。年新增创业企业超过2万家，高新技术企业超过2500家。到2035年，“中国光谷”将成为全球创新创业网络的重要枢纽。（新华社）
2018-06-20 18:58
【深赤湾A：拟近250亿元揽入招商局港口38.72%股权】财联社6月20日讯，深赤湾A晚间公告，公司拟以21.46元/股向CMID发行11.49亿股，作价246.5亿元收购CMID持有的招商局港口（00144.HK）38.72%股份。此外，招商局香港与公司签署一致行动协议，约定就其受托行使的招商局港口23%股权的表决权应当与公司在招商局港口股东大会的表决上保持一致。公司同时拟募集不超过40亿元配套资金。交易完成后，实控人招商局集团优质港口资产将注入公司。
2018-06-20 18:58
财联社6月20日讯，中国建材同意以19亿元人民币购入西南水泥18.7%股份，所持西南水泥股份将增至88.7%。
2018-06-20 18:51
财联社6月20日讯，中弘股份公告称，截止6月19日累计逾期债务本息合计约35亿元。
2018-06-20 18:40
【国常会：运用定向降准等货币政策工具增强小微信贷供给能力】财联社6月20日讯，国务院常务会议部署缓解小微企业融资难、融资贵，运用定向降准等货币政策工具，增强小微信贷供给能力，加快已签约债转股项目落地；将单户授信500万元及以下的小微企业贷款纳入中期借贷便利合格抵押品范围。自今年9月1日至2020年底，将符合条件的小微企业和个体工商户贷款利息收入免征增值税。国家融资担保基金支持小微企业融资的担保金额占比不低于80%。（央广）
2018-06-20 18:38
【国常会：坚持稳健中性的货币政策】财联社6月20日讯，国务院常务会称要坚持稳健中性的货币政策，要保持经济运行在合理区间，要保持流动性合理充裕和金融稳定运行。部署缓解小微企业融资难、融资贵。增加支持小微企业和“三农”再贷款、再贴现额度，下调支小再贷款利率。
2018-06-20 18:37
【国常会：确定加快已在境外上市新药审批】财联社6月20日讯，李克强主持召开国务院常务会议，有序加快境外已上市新药在境内上市审批。对治疗罕见病的药品和防治严重危及生命疾病的部分药品简化上市要求，可提交境外取得的全部研究资料等直接申报上市，监管部门分别在3个月、6个月内审结。将进口化学药品上市前注册检验改为上市后监督抽样，不作为进口验放条件。二是督促推动抗癌药加快降价，让群众有更多获得感。
2018-06-20 18:34
【独家电报|中储粮集团旗下中华粮网拟引入战投】财联社6月20日讯，财联社记者获悉，中国储备粮管理集团有限公司拟通过股权转让等形式，引入一或多家在体制机制、业务、管理等方面更加有助于控股子公司郑州华粮科技股份有限公司发展的股权投资战略合作对象。交易完成后，中储粮集团不再控股中华粮网，但仍保留一定股份，在业务等方面继续支持中华粮网发展。中储粮集团目前持有中华粮网50.33%股权。
2018-06-20 18:33
【欧盟将从本周五起对美进口商品征收25%的额外关税】财联社6月20日讯，欧盟委员会20日表示，将从22日也就是本周五起，对进口自美国的28亿欧元产品征收25%的额外关税。包括：橙汁、波本威士忌酒、蓝色牛仔裤、摩托车和各种钢铁产品。这是欧盟针对美国钢铝关税采取的反制措施。（央视）
2018-06-20 18:29
【海格通信：控股股东拟2个月内不超10亿元增持公司股份】财联社6月20日讯，海格通信晚间公告，公司控股股东无线电集团拟委托设立中邮证券珠江1号定向资产管理计划增持公司股份，拟在8月10日前增持金额不超过10亿元，增持比例不超过公司总股本的5%，增持价格不高于16元/股。小财注：公司股价今日收报7.53元/股。
2018-06-20 18:23
财联社6月20日讯，南侨化工中国子公司申请A股上市。
2018-06-20 18:20
【中国平安现30亿折价大宗交易 买卖双方均为机构席位】财联社6月20日讯，6月20日，中国平安收盘微跌0.39%报61.85元，盘中最大跌幅超2%。盘后数据显示，中国平安今日出现三笔大宗交易，成交总额30.31亿元，成交量合计5000万股，成交价均为60.61元/股，较今日收盘价折价约2%。交易双方均为机构专用席位。
2018-06-20 18:16
