2018-08-28 17:47
【李克强会见世界知识产权组织总干事高锐】李克强表示，产权保护是市场经济的基石，保护知识产权是实现创新发展的必然要求。对于侵犯知识产权的行为，一经查实将严厉处罚。我们对内外资企业一视同仁、同等保护，决不允许强制技术转让，发现一起，将依法查处一起。这不仅是中国扩大开放、融入世界经济的需要，也是中国经济实现转型升级、向高质量发展的内在需求。
2018-08-28 17:46
【松发股份：实控人溢价转让近30%股份 控股股东变更为恒力集团】财联社8月28日讯，松发股份公告，公司实控人林道藩、陆巧秀拟向恒力集团，协议转让转让公司股份3742.8万股（占总股本29.91%），转让价21.91元/股（较28日收盘价14.94元溢价47%），转让总价8.2亿元。交易后，林道藩、陆巧秀持股分别降至22.09%、0%；恒力集团持股29.91%，成为公司控股股东，公司实控人将变为陈建华、范红卫夫妇。恒力集团一年内没有改变公司主营的计划。
2018-08-28 17:43
财联社8月28日讯，中国人民银行行长易纲今日会见了来访的亚洲开发银行行长中尾武彦，双方就中国经济金融形势及双边合作等议题交换了意见。
2018-08-28 17:35
【重药控股上演过山车行情 知名游资介入】财联社8月28日讯，*ST建峰更名重药控股恢复上市，早盘高开17.54%后大幅回落，收盘跌6.19%，报10.06元，全天成交11.63亿元。盘后数据显示，该股买入前五席位均为券商营业部，其中，知名游资华泰证券深圳益田路荣超商务中心营业部净买入1725.69万元居首。卖出前五席位也均系券商营业部，东莞证券深圳后海中心路营业部净卖出2430.53万元居首。
2018-08-28 17:31
【广州已有百余家企业被撤销GSP 药品流通环节飞检成常态化】财联社8月28日讯，广东省食品药品监督管理局发布了关于撤销药品GSP认证证书通告，根据机构不完全统计，今年以来广东省已有149家药品经营企业的信用等级被评定为“严重失信”，从而被撤销GSP证书。这意味着未来药品流通领域的飞行检查将成为常态化，在飞行检查的新浪潮下，药品流通企业或将迎来大洗牌。（经济观察网）
2018-08-28 17:25
财联社8月28日讯，恒大总裁夏海钧在业绩会上表示，恒大已进行三轮引进战略投资者，以后将不再引进战投。
2018-08-28 17:24
【发改委主任何立峰：下半年要把补短板作为当前深化供给侧结构性改革的重点任务】财联社8月28日讯，十三届全国人大常委会第五次会议28日上午在北京人民大会堂举行第二次全体会议。国家发改委主任何立峰报告了今年以来国民经济和社会发展计划执行情况。他说，下半年要加强宏观政策统筹协调保持经济平稳健康发展，扩大国内有效需求，把补短板作为当前深化供给侧结构性改革的重点任务，扎实有效推进三大攻坚战，加大重点难点领域改革力度，加快落实对外开放重大举措，激发城乡区域发展新活力，做好民生保障和社会稳定等工作。
2018-08-28 17:16
财联社8月28日讯，香港金管局在市场买入78.5亿港元，因港元汇价触及弱方兑换保证。
2018-08-28 17:15
财联社8月28日讯，中国证券市场上周新增投资者数为23.12万，前值为23.04万。
2018-08-28 17:14
【电报|世茂房地产：近两三年不考虑将酒店分拆单独上市】财联社8月28日讯，在世茂房地产（00813.HK）中期业绩会上，该公司董事会副主席许世坛表示，分拆酒店上市将不是世茂近两三年可以实施的事，而是长远的目标。“今年我们有很多酒店和商场在改造。我们打算把租金做上去、规模做大了，再考虑酒店分拆上市的事。”（财联社记者 王海春）
2018-08-28 17:13
【中国银行：8月27日起 刘连舸就任本行行长】财联社8月28日讯，中国银行在港公告称，2018年7月17日，本行董事会批准聘任刘连舸先生为本行行长。中国银行保险监督管理委员会现已核准刘连舸先生的任职资格。自2018年8月27日起，刘连舸先生就任本行行长。
2018-08-28 17:10
【中国恒大回应“回A进展”：目前A股波动比较大 等待重组完成上市】财联社8月28日讯，恒大总裁夏海钧在业绩会上表示，恒大回A目前与证监会保持正常的沟通。恒大回A与正常的房地产企业IPO完全不同。首先是将已经上市的深深房，进行国有企业混改，符合改革的大方向。其次，恒大回A不像IPO企业发行新股份进行融资，而是完成资产受让，借壳上市，不需要融资。目前A股波动比较大，等待重组完成上市。（财联社记者 陈业）
2018-08-28 17:08
