2018-10-13 18:10
【建设银行资产管理部总经理刘兴华：资管行业收益巨幅下降 2018年或将下降50%】财联社10月13日讯，建设银行资产管理部总经理刘兴华于中国财富管理50人论坛年会称，资管行业2018年收益巨幅下降，全年可能下降50%。刘兴华指出，这是因为期限错配的红利消失了，风险事件频发，对利润的侵蚀变得更多起来。（新浪）
2018-10-13 17:57
财联社10月13日讯，美国财长Mnuchin（出席在印尼巴厘举行的IMF年会时宣称），特朗普政府寻求将汇率条款纳入美日贸易谈判中。
2018-10-13 17:19
【天风证券副总裁：股权质押风险解除才能找到市场底部】财联社10月13日讯，天风证券副总裁翟晨曦今日在中国财富管理50人论坛上表示，全球风险资产受流动性回撤影响将剧烈波动，甚至进入大的下行通道。中国股票市场已提前释放较大风险，但当前需完成股票质押系统性风险的解除才能找到市场底部。（财联社记者 许祯）
2018-10-13 16:57
【河北：擅自预售商品房的企业将被没收违法所得】财联社10月13日讯，日前，河北省住建厅、国土厅等多部门联合印发了《关于建立健全房地产开发领域违法建设防控治理长效机制的若干意见》，将对房地产开发中发现的各类违法行为实施严厉处罚，对擅自预售商品房的企业一律依法没收违法所得并处已收预付款1%的罚款；将建立“黑名单”制度，名单中的企业和人员，5年内将不得进入该市场。（新华社）
2018-10-13 15:44
【海南设立两大投资基金助力农垦改革】财联社10月13日讯，海南农垦产业发展股权投资基金和海南农垦农业产业投资基金13日揭牌成立，资金规模分别为50亿元、20亿元。基金的设立旨在助推海南建设热带特色现代农业的大基地、大企业、大产业，发挥海南农垦在热带特色现代农业建设中的引领作用。（新华社）小财注：海南农垦农业产业投资基金由海垦控股集团联合招商局资本、中国农垦产业发展基金、广东温氏集团发起设立，基金规模20亿元，首期5亿元。
2018-10-13 15:41
【原银监会主席尚福林：要保证金融机构对国有企业和民营企业一视同仁】财联社10月13日讯，全国政协经济委员会主任、原银监会主席尚福林13日在中国财富管理50人论坛2018第六届年会上表示，要建立健全机制，保证金融机构对国有企业和民营企业一视同仁。尚福林说，目前在各项政策上，对国有企业和民营企业是一视同仁的；但在实际执行过程中，对民营企业还有诸多不同待遇。比如，从整体情况看，银行对于民营企业的支持，每年有两个“不低于”要求；但从做业务工作上看，主观能动性不足。
2018-10-13 15:37
