2018-08-10 16:57
【工行房贷政策“一日游” 上海四大行首套房贷指导利率均提至9.5折】财联社8月10日讯，记者获悉，在媒体昨天传出工行下调首套房优惠利率至9折以后，今天工行紧急开会，为了与国家房地产宏观调控目标一致，又重新调整至9.5折。另外，农行上海分行、建行上海分行、中行上海分行首套房贷指导利率均为9.5折，虽然个别银行针对优质客户，有9折的优惠提供，但申请难度极大。（财联社记者 陈业）
2018-08-10 16:54
【武汉生物公司效价不合格百白破疫苗处置工作核查组公布工作进展】财联社8月10日讯，经核查，该批次不合格百白破疫苗为2016年7月19日生产。2017年10月27日，中检院在国家药品抽验中发现，该批次白喉效价81IU/剂，国家标准为不低于30IU/剂；破伤风效价56IU/剂，国家标准为不低于40IU/剂，这两项指标符合规定。百日咳效价2.8IU/剂，国家标准为不低于4IU/剂，不符合规定。 核查组认定，武汉生物公司未按生产规程操作。地方监管部门存在监管不到位问题。对事故的处罚没有按国家有关法规和规定从严从重，行政处罚偏轻。 核查组强调，下一步，国家药监局将会同有关部门和地方政府督促企业进一步整改，依法严肃追究企业和监管部门责任、落实补种措施、及早发布核查处理结果。（新华社）
2018-08-10 16:51
【知情人士：中国石油考虑暂停进口美国液化天然气】财联社8月10日讯，据两位直接了解相关战略的知情人士称，中国石油在冬季取暖季可能暂停采购美国液化天然气(LNG)现货。根据该计划，中国石油将增加其他国家的现货购买量。（彭博）
2018-08-10 16:41
【证监会：目前在进一步研究证券公司股权管理规定】财联社8月10日讯，证监会发言人高莉表示，证监会目前还在进一步研究证券公司的股权管理规定。
2018-08-10 16:38
【证监会上半年制定规章9件 存托凭证发行办法在列】财联社8月10日讯，证监会通报了上半年规章、规范性文件制定情况，上半年证监会制定规章9件，规范性文件23件，包括《存托凭证发行与交易管理办法》等。据证监会新闻发言人高莉介绍，上半年还完成对《关于改革完善并严格实施上市公司退市制度的若干意见》、《首次公开发行股票并在创业板上市管理办法》的修订等。制定了《证券期货市场诚信监督管理办法》。
2018-08-10 16:30
