2018-11-10 16:21
【电报|刘世锦：降杠杆需要金融创新 可考虑增加发行低成本长期建设国债】财联社11月10日讯，全国政协经济委员会副主任、央行货币政策委员会委员刘世锦在“北大中国财富管理论坛”上表示，降杠杆需要一场深刻的改革，也需要金融创新，要深化金融改革开放，打开更多为民营经济、中小企业、实体经济服务的通道。政策目标可考虑：一是银行系统对民营经济提供信贷服务的比重至少应当达到50%以上；二是有效利用国家信用，可考虑增加发行低成本长期建设国债。（财联社记者 李愿）
2018-11-10 16:09
【国家统计局局长宁吉喆：做好“六稳”为民营经济营造良好环境】财联社11月10日讯，国家统计局局长宁吉喆表示，要做好“六稳”综合工作，扎实推进落实稳就业、稳金融、稳外贸、稳外资、稳投资、稳预期的各项部署，保持国内经济运行在合理区间，特别是要大力培育发展国内市场，使广大民营企业有更为广阔的发展空间。此外，要持续优化企业营商环境，为中小企业发展提供更大支持。一是实施负面清单。二是优化营商环境。三是减轻税费负担。围绕税费负担重、政策获得感不强等问题，着力增强政策含金量，深化增值税等领域改革，进一步清理规范涉企收费，降低偏高收费标准，减轻企业税费负担。（新华社）
2018-11-10 16:07
【宁吉喆：在做深做实前三批50家混改试点基础上 尽快启动第四批试点】财联社11月10日讯，国家统计局局长宁吉喆表示，下一步，要积极向民营企业推介项目，巩固民间投资良好增长势头，重点是抓长效、优服务、清障碍。将进一步加大工作力度，为民营企业参与国企混改释放更大空间。在做深做实前三批50家混改试点基础上，尽快启动第四批试点，持续释放试点示范效应。继续破除民间资本进入重点领域的隐性障碍，鼓励民间资本重点投入国家重大战略及补短板领域项目。（新华社）
2018-11-10 16:04
【证监会：受理首发及发行存托凭证企业274家 未过会241家】财联社11月10日讯，截至11月8日，中国证监会受理首发及发行存托凭证企业274家，其中已过会33家，未过会241家。未过会企业中正常待审企业226家，中止审查企业15家。
2018-11-10 15:27
【李克强：抓紧解决政府部门和国有企业拖欠民营企业账款问题】财联社11月10日讯，“要抓紧开展专项清欠行动，切实解决政府部门和国有大企业拖欠民营企业账款问题。”李克强总理在11月9日的国务院常务会议上要求。李克强指出，当前经济形势错综复杂，民营企业融资难、融资贵问题已经较为突出。李克强要求就此开展专项清欠行动：一是凡有此类问题的都要建立台账，对欠款“限时清零”；二是严禁发生新的欠款。（中国政府网）
2018-11-10 15:24
【王岐山会见美国前国务卿基辛格】财联社11月10日讯，国家副主席王岐山10日在中南海紫光阁会见美国前国务卿基辛格。王岐山表示，中美建交近40年来，两国关系历经风雨，但总体向前，为两国民众带来巨大利益，也促进了世界和平、稳定与繁荣。历史的启示是，相互尊重、平等协商、互利合作是两国关系唯一正确的选择。中美双方应当顺应潮流，不断加深相互了解，促进各领域交流合作，妥善管控分歧，探索新形势下两国相处之道，推动中美关系在下一个40年取得更大发展。赞赏基辛格博士为中美友好所做的贡献。基辛格表示，美中两国共同利益大于分歧。赞同通过平等对话和协商解决两国间当前问题，对美中关系未来发展达成共识，愿为此做出努力。（新华社）
2018-11-10 15:12
【中国化学所属七化建签约俄罗斯1.8亿欧元石油项目】财联社11月10日讯，日前，中国化学所属七化建与McDermott(CB&I)公司在莫斯科签订1.8亿欧元俄罗斯卢克石油延迟焦化项目施工总承包合同。按照合同约定，七化建作为项目施工总承包负责项目施工工作，同时承担项目大宗材料采购工作。
2018-11-10 14:35
【韩长赋：力争未来10年中国与日韩农产品贸易额翻一番】财联社11月10日讯，10日，第三届中日韩农业部长会议在北京召开。农业农村部部长韩长赋指出，目前，中国正大力实施乡村振兴战略，中日韩在技术、产业、市场等方面都有很强的互补性，深化中日韩农业全方位合作、全面提升三国农业合作水平，正当其时，建议三国加强乡村发展、农业科技和农业经贸合作，力争未来10年中国与日韩农产品贸易额翻一番，达到300亿美元以上，并倡议三国农业部以“中日韩+1”的模式，共同探索在第四方市场开展合作。
2018-11-10 14:32
