2018-07-29 20:41
【汽车产业投资规定即将落地 行业或迎整合】财联社7月29日讯，据媒体消息，《汽车产业投资管理规定（征求意见稿）》正在走最后的批示流程，该规定一旦正式实施，新能源汽车的投资项目核准的审批将重启。该意见稿增加了对新能源车行业新产能落地的条件，这将有助于遏制近来新能源车行业投资项目密集上马带来的盲目投资和产能过剩问题。即将落地的新规定对新能源汽车投资项目提出了更高的准入门槛，这将促进行业有序发展，产能利用率较高的头部企业有望获得更多的新增产能空间。（中证资讯）
2018-07-29 20:08
【安信策略：反弹行情并未结束 重点关注国企改革等】财联社7月29日讯，安信策略研报认为，7月A股市场反弹行情主要逻辑是政策趋向宽松的预期与验证，反弹行情并未结束，未来推动反弹行情的核心要素在于：后期政策微调及金融、经济数据的验证；对内深化改革；对外加快开放。市场整体仍存在进一步估值修复空间，包括基建链，金融股等，但中期最强主线依然是成长，在保持经济平稳运行基础上推进新旧动能转换是未来行情的核心逻辑，重点关注主题：国企改革、乡村振兴等。
2018-07-29 19:33
【7月29日周日《新闻联播》要闻四条】财联社7月29日讯，今天《新闻联播》的主要内容有：1、习近平结束对阿拉伯联合酋长国、塞内加尔共和国、卢旺达共和国、南非共和国国事访问，出席金砖国家领导人第十次会晤，过境毛里求斯共和国并进行友好访问，回到北京。2、中办、国办印发《关于实施革命文物保护利用工程（2018-2022年）的意见》。3、我国成功发射两颗北斗导航卫星。4、二十国集团农业部长会谴责保护主义。
2018-07-29 19:16
【华海药业召回含致癌物降压药原料药 国家药监局回应】财联社7月29日讯，国家药监局新闻发言人介绍浙江华海药业股份有限公司缬沙坦原料药中检出微量N-亚硝基二甲胺(NDMA)杂质有关情况。根据限定值，对所有国内在产的7家缬沙坦原料药生产企业（含华海药业）进行风险排查，除华海药业缬沙坦原料药NDMA杂质超出限值外，其他国内缬沙坦原料药生产企业，NDMA杂质检出值低于限值或者未检出。截至7月23日，华海药业已完成国内所有原料药召回工作。
2018-07-29 18:52
【广发策略：A股仍有反弹空间 优先布局基建链条的周期品】财联社7月29日讯，广发策略研报认为，A股仍有反弹空间。方向明确，优先布局信用缓和边际力度最大的基建链条的周期品。在最近3轮宽松周期中，A股触底反弹涨幅排名靠前的周期品主要有：地产及上游周期链、中游制造链以及基建产业链。本轮信用宽松的方向比较有限，国常会边际变化最大的政策信号基建链条是较优的配置方向（建筑装饰/钢铁/化工）。
2018-07-29 18:36
