2018-11-17 18:18
【新华社：退市改革方案传递出重大违法退市“从严”信号】财联社11月17日讯，备受关注的上交所退市改革方案11月16日正式出炉。将上市公司“社会公众安全类重大违法”情形纳入强制退市新规的同时，改革方案传递出重大违法退市“从严”信号。（新华社）
2018-11-17 18:06
【北京公交集团：智能辅助驾驶系统将列入新车标配】财联社11月17日讯，从北京公交集团获悉，未来三年，本市所有公交车将配置驾舱隔离门，保护司机安全。同时，公交集团正在运营车辆上推广“主动安全预警系统”，当司机有超速、违规并线等行为发生时，系统会进行提醒，从而降低车辆发生事故的几率。（北京日报）
2018-11-17 17:21
【全国银行理财半年考揭榜：工行招行浦发位列前三】财联社11月17日讯，银行业理财登记托管中心发布《全国银行理财综合能力评价报告（2018年上半年）》。前十榜单显示，工商银行、招商银行和浦发银行在2018年上半年的全市场理财业务综合能力排名中位列三甲。接下来的排名依次为农业银行、建设银行、中信银行、兴业银行、中国银行、交通银行和民生银行。
2018-11-17 16:51
【黑龙江关闭小煤矿207处 淘汰产能1093万吨】财联社11月17日讯，为推动煤炭行业供给侧结构性改革，保安全，促发展，今年以来，黑龙江省强力组织开展淘汰落后产能专项整治工作。截至11月初，全省已关闭煤矿207处，占全省煤矿总数的35.8%，占全国2018年关闭计划总数的34.5%，共计淘汰退出产能1093万吨。
2018-11-17 16:02
【习近平：中国将在金融、汽车、飞机、船舶等领域进一步开放】财联社11月17日讯，国家主席习近平17日在巴布亚新几内亚首都莫尔兹比港出席亚太经合组织工商领导人峰会并发表题为《同舟共济创造美好未来》的主旨演讲。习近平表示，中国将继续大幅放宽市场准入，加强知识产权保护，主动扩大进口。中国发布了外商投资准入新的负面清单，在金融、汽车、飞机、船舶等领域进一步开放。中国对内外资企业一视同仁、平等对待，欢迎和鼓励各类企业公平竞争，也将充分保障它们的合法权益。（新华社）
2018-11-17 15:56
【四川省金融机构集中向民营企业授信4200亿元】财联社11月17日讯，四川省工商联和人民银行成都分行16日联合举行全省金融支持民营企业发展对接会，工商银行四川省分行、中国银行四川省分行等6家金融机构在现场与四川省工商联签署战略合作协议，授信金额达4200亿元。
2018-11-17 15:47
【花旗集团在中国拟另设控股证券公司】财联社11月17日讯，花旗集团想要增持东方花旗的股权至51%，但相关谈判未果，因此正考虑退出东方花旗，在中国另设控股证券公司。（券商中国）
2018-11-17 15:31
【杭州房贷利率全面松动 首套房、二套房均包括】财联社11月17日讯，二手房成交惨淡，新房排队摇号盛况不再，在刚刚过去的“金九银十”，杭州市场的传统旺季行情并未如期上演。楼市降温的同时，房贷利率也出现了松动。10月底，工商银行、中国银行部分支行率先下调房贷利率；最近，建设银行、农业银行、招商银行、汇丰银行等也相继回调。这不仅是针对刚需购买的首套房，甚至还包括二套房。（都市快报）
2018-11-17 15:29
【佛山市长调研多家民企 将设立基金解决融资难问题】财联社11月17日讯，佛山市委副书记、市长朱伟近日带队到民营企业开展调研，先后实地调研了碧桂园、星徽精密、永通重机。朱伟表示，佛山是民营企业大市，扶持民营企业的力度要更大，接下来将加快出台“佛十条”修订版。将通过设立基金解决融资难问题、简化企业申报扶持政策程序等举措，解决民营企业面临的现实困难，大力扶持民营经济加快发展。（佛山日报）
2018-11-17 14:21
【中国商品和装备制造展在南非开幕】财联社11月17日讯，由中国商务部和重庆市人民政府共同主办的2018年中国商品和装备制造展16日在南非约翰内斯堡开幕。据介绍，本次参展的商品涉及电力和发电设备、小型农机具、工程机械、汽车及零配件、五金化工建材、轻工消费品等多个领域。（新华社）
2018-11-17 13:11
【南方中证500ETF规模迭创新高 距离400亿元大关仅一步之遥】财联社11月17日讯，11月16日，沪深股指再度普涨，ETF市场也延续了近期强势表现。南方中证500ETF单日成交15.29亿元，基金规模在本周迭创新高。数据显示，南方中证500ETF最新规模超399亿元，距离400亿元大关仅一步之遥。（中证网）
2018-11-17 12:42
【金融科技发展将影响货币政策的制定和实施】财联社11月17日讯，央行国际司司长朱隽表示，金融科技发展将影响货币政策的制定和实施。货币政策传导方面，金融科技发展将加剧金融业竞争，使市场对利率的反应更加灵敏，从而提高货币政策的有效性。但是随着技术进步，无形资产占公司资产比重不断上升，可能会削弱货币政策的实施效果，在货币政策目标方面，金融科技也可能通过算法技术及时调整商品和服务的价格，使价格变化更加频繁，从而对通胀带来一定影响。
2018-11-17 11:19
【习近平：“一带一路”是中国同世界共享机遇 共谋发展的阳光大道】财联社11月17日讯，习近平在APEC工商领导人峰会上强调，共建“一带一路”是开放的合作平台，秉持的是共商共建共享的基本原则。没有必然政治目的，不针对谁，也不排除谁，不会关起门来搞小圈子，不是有人说的这样那样的所谓陷阱，而是中国同世界共享机遇、共谋发展的阳光大道。习近平表示，中国将于明年4月份在北京举办第二届“一带一路”国际合作的高峰论坛。（央视新闻）
2018-11-17 10:58
【习近平：中国关税总水平超出对世界贸易组织的承诺 也低于大多数发展中国家】财联社11月17日讯，习近平在APEC工商领导人峰会上表示，随着11月1日新一轮降税措施实施，中国关税总水平已经降到了7.5%。超出了对世界贸易组织的承诺，也低于大多数发展中国家，中国发布了外商投资准入新的负面清单。在金融、汽车、飞机、船舶等领域进一步开放。据世界银行的报告，中国营商环境排名今年比去年提升了30多位。成为营商环境改善幅度最大的经济体之一。（央视新闻）
2018-11-17 10:50
【习近平鼓励企业家勇做经济全球化的弄潮儿】财联社11月17日讯，习近平在APEC工商领导人峰会上表示，在座的许多企业家都是中国改革开放的见证者、贡献者、推动者、受益者，同中国结下了不解之缘，工商界是引领亚太和世界经济增长的重要力量，希望你们发挥企业家精神、勇做经济全球化的弄潮儿，继续为决策者提供明智建议，推动各国采取积极务实政策，广泛开展经济技术合作，为亚太地区乃至世界共同发展繁荣闯出新天地。（央视新闻）
2018-11-17 10:46
【千亿战略配售基金涨幅猛增 机构看好配售 “第一股”上涨空间】财联社11月17日讯， 11月16日，中国人保A股上市，首日大涨44%，出现在中国人保战略投资者名单中的汇添富、招商等多只战略配售基金周涨幅提升，以汇添富配售为例，本周涨幅约为上周涨幅的6倍有余。从净值波动率来看，持有中国人保股票市值占基金资产净值比最高的汇添富配售基金本周收益率最高。未获配的华夏配售与嘉实配售被拉开差距，但因重仓债券的配置实现周涨幅的提升。
2018-11-17 10:32
