2018-10-20 15:07
【任泽平：经济加快下行 偏紧的货币金融财税政策应加强逆周期调节】财联社10月20日讯，恒大研究院任泽平今日发文称，三季度经济超预期下行，创2009年一季度以来的低点，滞涨之后是萧条。任泽平认为去杠杆、财政紧缩、环保加强和社保改由税务征收等政策更多是经济过热时期的政策，在当前及下阶段经济形势下行时期，财政、货币和监管政策应该调整为发挥逆周期调节作用。不应将短期的需求管理逆周期调节政策与长期的供给侧结构性改革对立，长期改革需要短期稳定的宏观环境。
2018-10-20 14:52
【江西向全球推介129个VR产业项目 投资金额达600亿】财联社10月20日讯，2018世界VR产业对接会20日在江西南昌召开。江西在大会上向全球重点推介、寻求合资合作的VR产业重大项目共129个，项目总投资近600亿元。据介绍，此次推介的项目主要集中在VR产业链条关键环节和重点领域，重点聚焦VR全产业链项目、VR研发生产项目、VR应用推广项目和VR载体平台项目，可采取合资、独资、股权投资、技术及设备支持等多种合作方式。
2018-10-20 14:47
【山东鸡蛋价格连续三周下跌】财联社10月20日讯，山东省畜牧兽医信息中心发布的最新数据显示，10月8日至10月14日，山东鸡蛋价格连续第三周回落。山东省畜牧兽医信息中心高级畜牧师胡智胜认为，随着天气逐步转凉，蛋鸡产蛋率回升，鸡蛋供应短缺情况缓解，但鸡蛋需求转弱，蛋价已经进入季节性下跌周期。
2018-10-20 14:46
【中信建投点评住房专项抵扣方案：好于预期 刚需住房消费迎改善】财联社10月20日讯，中信建投点评住房专项抵扣方案认为，此次住房相关专项抵扣方案细则好于此前预期，定位“首套住房”而非“普通住房”意味着降低刚性需求（包括首次购房以及租房）的住房消费成本得以降低，有利于房地产市场平稳发展，租售并举思路延续。板块估值已经处于低位，积极因素正逐步兑现，建议优选：1、具备强融资能力和ROE突破潜力的龙头房企；2、享受成长弹性和边际催化的企业；3、享受存量红利的企业等。
2018-10-20 14:30
财联社10月20日讯，亚威股份在投资者互动平台表示，公司将会积极采取各种有效措施稳定公司股价。
2018-10-20 14:30
【重庆：暂停网贷中介开展高校“校园贷”业务】财联社10月20日讯，重庆市政府办公厅日前印发《关于进一步加强高校不良网络借贷风险防范管理的通知》，现阶段一律暂停网贷信息中介机构开展高校在校学生网贷业务，禁止小额贷款公司发放校园贷，未经批准禁止任何组织和个人进入高校宣传推广信贷业务和为高校在校学生提供信贷服务。（新华社）
2018-10-20 14:17
【中亚首座核电站建设项目在乌兹别克斯坦启动】财联社10月20日讯，乌兹别克斯坦总统米尔济约耶夫和到访的俄罗斯总统普京19日在乌首都塔什干共同启动中亚地区第一座核电站建设项目｡据乌兹别克斯坦媒体报道，这座由俄罗斯设计的核电站建设成本约110亿美元，第一个核电厂动力装置计划到2028年底投入使用。核电站建成后，每年将节省370亿立方米天然气｡
2018-10-20 14:12
【全国首个市场监管互联网执法办案平台在杭州上线】财联社10月20日讯，浙江省市场监管互联网执法办案平台19日在杭州正式上线。国家市场监管总局副局长甘霖在启动仪式上表示，浙江研发完成全国首个市场监管互联网执法办案平台并付诸实践，是市场监管主动适应互联网发展大趋势的重大机制创新。记者了解到，浙江省市场监管互联网执法办案平台将人工智能、自动化办公、电子签名等技术应用于举报案件的处理。（新华社）
2018-10-20 14:00
【川浙签约投资合作项目10个 总投资逾460亿元】财联社10月20日讯，10月19日，川浙经贸合作推介会暨项目合作协议签署仪在浙江举行。活动期间，四川有关市与浙江企业现场集中签约投资合作项目10个，总投资468.21亿元。其中，签约项目中第一产业项目1个，投资额30亿元，第二产业项目5个，投资额245.91亿元，第三产业项目4个，投资额192.3亿元。
2018-10-20 14:00
【福建省44个PPP示范项目获中央奖补2.51亿元】财联社10月20日讯，日前，财政部下达2018年度普惠金融发展专项资金，对全国383个新建政府和社会资本合作（PPP）示范项目，下达以奖代补资金21.07亿元。其中，福建省共有29个PPP示范项目获得1.67亿元以奖代补资金，项目数量位列全国第二、奖补金额位列全国第三。截至目前，我省累计44个PPP示范项目获得中央财政2.51亿元奖补资金。
2018-10-20 13:59
